distance,elevation
1005.3962590029457,60.812656585565705
1090.042102766981,64.10730747625554
1191.6018116016073,67.59063840644835
1308.5558129572757,71.1582974839464
1378.6821990180676,73.06135156861772
1471.8567780643652,75.44577368152102
1625.1395970891335,79.04597281870187
1711.3169457485612,81.00847523088738
1804.7648920832657,83.06646997720689
1913.0789801493988,85.40823562760538
2011.3086585470382,87.44686897369473
2126.904958901285,89.51621661479524
2203.0107221857984,90.60782930836427
2285.058501766536,91.47300885469728
2398.19226850956,92.05035963897764
4807.828619679093,92.71238081925218
4900.437207109717,98.17141716814547
4983.082962085179,101.14902219063676
9007.198622735432,105.6625902532285
9102.658809505272,131.65009954726247
9211.415477381124,154.15595631007196
9280.337032831336,163.408302070586
9382.304112956032,169.04445402725332
10006.099141580704,453.85788078910366
19804.071305677913,478.8681598806058
19916.860443483947,566.3729808773611
19974.34416089204,613.9527401515719
20072.114164603598,695.2172037901379
20186.99872272978,784.8608145445157
20321.925732504806,869.160795384121
20401.142259035398,906.1740088224608
20518.731252862188,1113.3968747642414
31187.992517546023,1122.0704833957918
31287.64261081175,1160.5606898171113
31429.349379797637,1192.9017363664661
31521.818949737466,1198.8359790707161
32190.692187827193,1215.1708969871488
32310.00651647608,1235.1202309020125
32426.10971320182,1256.293215711446
32497.436511761993,1269.5407478365248
32605.755387240533,1288.5693929615168
32693.338665032614,1301.0880977229542
32792.26688474337,1309.8579910443814
40770.62209692367,1337.2313630196982
40892.25218828171,1407.9402368660872
40984.05977743515,1468.1922275629286
41093.14578459075,1551.4357380620495
41226.74788081065,2100.0597488546946
42488.15520428115,2167.8007340750223
42627.776339819924,2288.0673171463313
42718.793836369754,2371.550018014601
42793.78633512066,2435.502370796961
42900.296408309594,2512.2066610674337
43011.16872272341,2565.848137842055
43078.67702588565,2582.9600597477975
43190.68302864467,2586.4419246793
44096.89447655835,2631.172121599331
44182.76259161323,2692.599092004924
44298.252783715376,2769.40017273651
44378.478332203595,2810.8411323880255
44479.29740637211,2841.3575132516244
44599.757873631774,2848.788341790305
44721.38210713022,2849.2106325409904
44777.348249045586,2853.742405214892
44924.459890579084,2877.7761325437727
44971.92025644086,2886.190827367989
45083.35256204654,2896.670356559125
49417.47010664384,2995.3811939370294
49475.61131455313,3061.0222946934964
49578.738257817866,3167.2687087346426
49704.50876259925,3279.223782263745
49792.94339841159,3338.1202294019727
49917.607659401394,3386.5085897210424
50026.96936934192,3397.6110714597357
93222.14233021988,3508.4374182441607
93270.81055550625,3561.8230749705203
93405.09988814684,3694.8158862726773
93473.3066835805,3761.984448038856
93587.76974021028,3883.124238926382
93696.86462430062,3999.6982674156843
93812.91404614766,4093.51129412465
93891.9090109806,4123.685204698305
