distance,elevation
1020.5225934697919,17.884917857163593
1091.468874515661,19.17518829673803
1226.1430399429933,20.50893331263129
1274.4241489383498,20.584039830472886
3310.7177585927575,20.751763440396648
3425.617142780589,25.136517856896173
3528.60200516279,28.36476957840027
3581.9418168384163,29.755295648046456
3707.761529553317,32.375701264216104
3824.6820800708806,34.336657481385714
3882.426499028092,35.305889332713505
4017.706832833875,37.86612697665131
4121.453670001969,40.275731534630786
4209.829880029335,42.349689054187806
4271.305596596357,43.82627850069527
4384.578825291744,46.94524402160052
4489.189129973247,50.0175209572071
4610.201626235653,53.795650420122485
4716.45165857561,56.8773392651962
4819.242388061754,59.49488470729518
4918.191325314196,61.16032372051905
4996.940228087398,61.75126840199847
6499.828027890999,66.77769619236209
6589.828039964576,78.11216634863126
6709.048779551301,93.97287066281122
6827.373590697133,325.13713838550234
15701.250385966174,354.3282377965261
15803.606980050094,387.56085639372117
15882.964475374281,407.3414353140146
15983.405082415811,424.65780041803174
16086.359429749504,432.15265563566356
24889.7701426196,443.6360077858343
24972.33462697413,451.8223009283154
28484.901275394855,460.04182919093097
28629.476415463934,487.613116262801
28726.46980784548,498.6873726760438
28824.570990200697,508.87890458201093
28878.557335180998,515.6760137079875
29018.26018366137,540.5384353989656
29085.12155629298,556.6551798372196
29211.10802250737,586.2840442843601
29311.75548497229,608.2781413419767
29383.62492928461,622.3384158063853
29507.43282869651,646.3502620816055
29628.732104405062,665.7158998422431
29679.49153918296,671.9691267537472
29770.934678487945,680.4970097557429
29888.161099666744,683.7748069140978
35917.937124257405,760.4067330203787
36025.45897558728,815.5287385311016
36116.861225225395,842.5367868504744
36174.97572310598,850.1641611988896
44826.04468196949,895.8563534777028
44893.45558073327,936.1708279994803
45003.77903036212,1005.6925535817699
45101.952444531315,1071.1004535767868
45219.283802311715,1294.4991755922013
45620.813962042565,1298.967360648253
49584.49582225093,1401.4967958018922
66527.91450310513,1417.7583428319301
66619.55379022298,1479.2837917654458
66684.51938313516,1518.242615984646
66810.82665123169,1576.1329067258225
66875.59929971602,1599.7584799886818
67005.2238460946,1619.7017306044932
76216.62888395642,1684.921518486849
76327.54074415531,1768.0620433140664
76421.83013159002,1831.6599168378984
76521.11094992487,1879.8882468464155
76614.45677122485,1906.4829651785801
79020.61103806677,2100.972598778911
79085.31563716881,2237.067661325661
79228.23064848804,2503.563799419988
79329.22902738005,2661.7315956862226
79428.68486675355,2777.5820823407475
79486.02219724099,2816.750890269346
79579.82122909969,2843.3657734154
