distance,elevation
1025.857833915283,15.77693484364606
1082.0807926213631,16.76450793239562
1173.9774669996352,18.393186535022217
1306.9263104274305,20.847255014605416
1410.2725912546834,22.875159951151737
1474.7840758748812,24.202963484844098
1607.6480743163484,27.04565713950557
1711.3749960165765,29.29888397229325
1815.578198334768,31.51932817409774
1922.1561639587694,33.738166727699884
2027.0651842200468,35.78602669411401
2076.1385641112547,36.49259683192915
2197.31305262038,37.0845632467146
3120.981139848217,38.18037219902377
3183.1640657118414,41.70903930848065
3299.4547595647095,49.28862640871253
3420.9346194813756,57.83840105373423
3494.247526285389,62.89990489689899
3624.936417896554,71.36824976257736
3692.613148657254,75.4167458179564
3798.1341545245973,81.51558696559648
3873.2912645807633,85.83859138917227
4015.0186307835265,95.026390434017
4112.551123909458,102.91823903222368
4219.973860439363,113.79549903387027
4290.664427229165,122.36721752180043
4405.879960215007,138.31629965551946
4505.477571640085,153.1927110391511
4619.916450332046,170.77660510523373
4719.452222901353,186.1217075452248
4775.717383793799,194.67757598922321
4901.806635318515,212.8575333421023
4998.664665853294,225.0755279457025
5093.0741101135,235.21395268043676
5208.497407058978,245.0653405722408
5312.28500971186,251.6009004260798
5370.857624119739,254.4704037929932
5513.715127982208,259.5825436296311
5582.194238763294,261.26711674301146
5684.27301012367,262.71347043436896
13080.389268777315,267.7973292038179
13197.796496059047,285.54601432500704
13284.086523381766,297.1570208548636
13422.631790922664,318.44055883134286
13473.252352666243,326.6094725036705
13601.022814472848,345.63124847351605
13697.30853610222,354.8996999200692
13812.203510405909,356.0610062053133
23270.21257833003,392.415937096589
23423.353081027806,469.4605622805718
23470.986490953128,495.4467769363299
23616.415370345872,572.3179894582281
23697.418762105077,607.3360338946209
23777.6445809935,632.2871485508331
23871.433284495666,645.1298065574952
33300.88234197607,658.8578210521258
33401.42061554142,684.0725244843635
33499.59529875448,706.6330367805543
33577.67695708851,724.0558951645863
33719.432601756445,756.1606501112567
33801.43396221917,775.7715543539817
33924.371789147015,807.0003078739145
33985.929280585406,822.9203859041504
34082.92585079815,848.102781324852
34219.62842917926,880.470187562273
34316.99110049536,899.896431145896
34406.08079851497,914.7345946292002
34521.92509303988,931.5800669800495
34575.53094898769,938.3764224820087
34716.26368172674,951.5223173360772
34825.74866363884,953.7954781126887
43877.430295414175,967.9932959263525
43982.74516503419,1003.6521795942231
44126.26377356358,1012.8272685825126
45000.44557330587,1032.7080371133763
45093.06991157973,1095.2392366176514
45193.39760170092,1163.7890834331665
45281.8105266968,1214.554018606442
45370.096171872356,1250.2945923634804
45521.38473787456,1264.0095012794095
55629.08810131986,1299.1319564736928
55705.73294179424,1346.1904636616164
55798.28428040575,1399.6437100969572
55921.278981318974,1458.7964599010588
55989.101116695536,1480.415437286544
56117.31259386223,1488.8597337356912
72316.07491138489,1532.7741514312243
72381.6044125327,1631.0410970703501
72497.0792074601,1833.5302422369807
72574.38661672284,1976.2922898990964
72697.04986911743,2190.593637438398
72779.99792114874,2307.2771264502985
72904.96465704836,2415.7283737188545
72990.73099366037,2435.795545095389
85775.47090505509,2537.1778485473997
85927.8455644106,2791.379063260415
86020.00696582717,2945.182370086828
86115.84870002315,3084.736032344656
86211.7781598808,3188.522914998131
86293.2976206367,3234.5409981589537
86374.6976082867,3234.8694266946177
91980.58924725957,3341.9738472148283
92105.21587306754,3563.2747313747645
92170.38007887822,3636.908911402687
92271.73698002186,3685.7271986604705
93399.99819210538,3716.3816155858913
93518.78544404526,3885.960693213631
93599.57288480981,3980.8615441843476
93721.22289592736,4077.050301498018
93778.73915524838,4099.680970963536
93877.34151804152,4106.5517567525785
94687.56599832448,4110.781197949774
94788.90689044048,4147.280219835593
94882.49286655574,4180.51875064125
95017.55744903153,4217.574981260106
95081.37472233141,4226.303625941353
