distance,elevation
973.0388093086931,6.987378605611806
1706.7117980151509,7.520692698339742
1783.2894273787188,9.920495939426315
1876.5964331280597,13.017808532821201
2005.17400289542,17.384422339262233
2097.239850090902,20.33615341209926
2203.4668626257553,23.261525961378776
2283.586472468477,25.017936761171477
2416.794194725152,26.703015425414833
2527.59046533347,26.725098376416806
3716.09602422265,26.907703980934635
3810.6479556860036,33.00005444774744
3929.6754107267784,40.94229826051668
4016.3566502705066,46.744805941982314
4115.335982103834,52.98786215385775
4200.068534775356,58.08719260188097
4288.9256556340615,62.9382917114849
4425.4232500425405,69.52668633698936
4523.306739727881,73.540708848517
4584.653892440169,75.81913468620264
4690.7746501403335,79.20307511852214
4793.257937574233,81.98942564877552
4872.190690246793,83.81883114500235
5028.963570411285,86.59154085129404
5085.372924771637,87.234657420369
5215.083339309236,87.64716426069542
7626.635129660881,87.7372740406859
7682.171688632118,92.0383075423114
7788.929583987649,99.74363804606499
7917.706382578852,105.51261511656594
7976.340231655459,106.54347128430803
10304.590656947821,125.23975561095156
10401.941922473892,152.90733712846153
10517.620814383445,185.20408182560712
10581.035100670699,202.04316902395718
10670.581342711823,224.42145224743962
10820.554308686324,259.8825758593214
10924.924737793477,281.7259056682774
10998.235555587336,296.61765005217273
11122.607668168865,318.9352930087095
11222.169049962467,335.6760256510799
11303.967290248802,348.7199365939663
11384.064679552419,360.8850982430154
11502.570526117752,378.08195843147297
11607.204809201161,392.7850506759548
11688.04972116141,403.54811176390035
11795.597102644306,417.1088654480974
11923.864848184714,432.2672999141704
11982.914123894436,438.80874422290333
12077.338337686757,448.98858271882625
12191.38840803997,460.58126521614173
12278.005835593933,469.2197935441929
12397.778662762677,480.52046718360907
12502.68251106894,489.66479232961
12621.52829053167,498.4079703036758
12728.430313116605,504.0420822340343
12782.08515387264,506.36648464415237
12884.540583365453,510.8349297117118
13027.587526136898,516.2898007082954
13088.38574366912,517.4080736191067
22426.754672367984,573.9368677405693
22475.513022502106,603.8550844798175
22583.75707079262,660.6675488568537
22684.234109145305,704.1800998117026
22823.792401852614,758.1304519307226
22908.98242811856,786.6208606103719
23018.0957247478,817.0637587682961
23108.923261694945,836.8858302787535
23224.6526283764,855.9072025753875
23297.204663033157,864.9956591595089
23398.637575066088,874.823447532203
23476.215064114207,880.8110855143178
23577.59027987165,887.6067087353468
23686.32265903277,894.640456548151
23779.489318383483,900.6025101795233
23914.34674235386,907.9978243656253
23992.741902484766,911.1884018095337
24097.08295184626,919.9685907777531
24189.108529135,934.954246861909
24307.053815031595,962.2807915010254
24413.84164869701,990.6734216355874
24485.47313952011,1008.3612520481131
24588.127123880116,1028.8990410177958
24712.019523165214,1041.6379822459307
27224.50676811855,1081.8458119780119
27297.9079754652,1126.0296574114193
27420.152777820287,1194.6909064384693
27514.732279486077,1247.8262442087603
27598.660483306692,1299.782706361754
27703.741272099356,1357.8794888238426
27815.668711376467,1411.0493024738873
27919.478372741636,1451.3312227374315
28005.79566294519,1479.908715990277
28094.139663372553,1503.446808267897
28170.9120151726,1520.1759990456817
28289.45023500618,1539.0373988993942
28381.75331366012,1549.5715068319719
28514.01016905088,1560.8555504735484
28593.576994930696,1567.057995456567
28703.003091955685,1576.7141711155448
28818.724921999692,1588.3832573008947
28898.322467535807,1596.487139312064
29017.10261155416,1604.1014062616744
29071.639193560914,1606.217970156061
29175.62830330167,1609.0420528239624
29318.718400531012,1611.1650741538892
29415.75234527047,1611.4433181658026
78708.17004455949,1642.272418688601
78822.59848505579,1815.6522670825323
78872.27856127148,1888.25958041937
79023.74719412703,2103.1244584008173
79108.10706596398,2215.8715014995482
79196.76440027168,2316.0544664656354
79316.05311354653,2427.7250076846385
79411.15199229433,2501.587113773791
79529.66621810205,2569.7888676332364
79617.56739265511,2608.6179531144257
79686.44280574928,2633.0606140015734
79799.71812296614,2665.016807024067
79876.23968883874,2682.802292176356
80002.65698941656,2706.247323803759
80091.77579343844,2718.467103280961
80226.64955306958,2728.1776069571374
80310.7202406931,2738.7158758647033
80396.40069826055,2763.85772754981
80485.85233388246,2801.4861386988746
80594.38129103584,2851.5836422378334
80712.37548335874,2888.6896132799416
89027.72779483644,2907.4862654698395
89102.08449128598,2970.5860563975584
89212.25430886936,3043.731433158885
89295.00126504061,3073.3863815808404
89376.42442092599,3077.9958352626554
